,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
20,Atsuto,0.46344,0.36627,1000.65915,-99.81795,0.80580,mustard silt,-0.60190,0.76892,5480.59246,-89184.59633,True,False,-26.49860
21,Atsuto,2.26418,-0.89422,1000.94081,-99.59356,-1.96729,silt med schnapps,-1.30933,-0.33747,5480.29959,-89185.97910,False,False,63.67931
22,Jorg,1.29297,-0.41585,1001.18146,-99.56629,-0.91487,mustard silt,-0.58434,0.38083,5477.01020,-89188.08237,False,False,15.23942
23,Bob,-0.80737,1.70327,1000.81782,-99.51870,3.74720,mustard silt,1.09164,0.30696,5473.01494,-89186.01368,False,False,-89.95957
24,Jorg,0.59708,0.48941,1001.04116,-99.73054,1.07669,mustard silt,0.05819,-2.04156,5475.40365,-89183.68389,True,False,-19.62543
25,Bob,0.40504,0.62056,1000.79566,-100.29759,1.36524,mustard silt,1.26486,0.08565,5473.75334,-89186.49027,True,False,-29.35006
26,Bob,-0.18213,1.33404,1000.96747,-99.96634,2.93489,mustard silt,-1.83438,1.24227,5470.79613,-89185.88573,True,False,-58.62252
27,Jorg,0.06339,0.87508,1000.93751,-99.57673,1.92517,mustard silt,-2.82971,-0.37374,5473.72957,-89184.93402,False,False,-46.36168
28,Jorg,0.35761,0.56106,1000.92310,-99.94852,1.23434,mustard silt,-0.44587,-1.77116,5475.79442,-89182.63625,True,False,-31.65818
29,Jorg,0.09309,0.67978,1000.75689,-99.53754,1.49552,mustard silt,-0.70347,-0.96789,5478.01955,-89188.58362,False,False,-44.96695
30,Jorg,1.25867,-0.32265,1000.91849,-99.95213,-0.70983,curry silt,-1.41024,-0.01649,5475.11838,-89185.33878,True,False,13.39264
31,Jorg,0.25350,0.63961,1000.61841,-100.18309,1.40714,mustard silt,-1.47953,1.47839,5476.81893,-89186.80383,True,False,-37.01604
32,Bob,1.76053,-0.62371,1000.65440,-100.25698,-1.37217,surströmming,0.58830,0.50116,5473.86614,-89185.66115,True,False,38.35372
33,Jorg,0.15030,0.64289,1000.65044,-99.73380,1.41435,mustard silt,-0.70991,0.50601,5473.65347,-89185.34144,True,False,-42.15987
34,Jorg,-1.16716,2.25602,1000.82586,-99.90086,4.96325,mustard silt,-1.19379,1.75256,5480.53651,-89186.43796,True,False,-107.94503
35,Atsuto,-0.14229,1.04604,1000.76496,-99.76073,2.30130,mustard silt,-0.17002,0.98829,5478.52493,-89187.93323,True,False,-56.73182
36,Jorg,2.87002,-1.85094,1000.35053,-99.85484,-4.07207,surströmming,-0.12115,1.81231,5480.47349,-89188.94882,False,False,93.67638
37,Jorg,1.23851,-0.31345,1000.50620,-100.17227,-0.68960,surströmming,0.66357,1.73014,5474.62394,-89185.40462,True,False,12.17879
38,Bob,0.19154,0.56673,1001.33320,-99.40995,1.24680,mu
stard silt,0.15604,-0.83275,5474.50832,-89186.48886,False,False,-39.75638
39,Bob,0.40400,0.76095,1001.15898,-99.91941,1.67409,mustard silt,-2.11173,-0.59824,5473.51591,-89184.66872,True,False,-29.22048
40,Bob,-0.04592,0.78056,1000.37566,-99.98880,1.71723,mustard silt,0.41182,-0.92299,5473.82029,-89186.87699,True,False,-52.10817
41,Atsuto,0.75959,0.19134,1000.64524,-99.87378,0.42094,mustard silt,-1.18787,0.64292,5473.98405,-89186.54006,True,False,-11.69788
42,Jorg,1.50304,-0.57176,1000.88279,-100.06302,-1.25787,surströmming,-0.29123,-0.31490,5478.75834,-89188.01349,True,False,25.59334
43,Atsuto,0.01116,0.78786,1000.48182,-99.98069,1.73330,mustard silt,-0.05877,1.48105,5475.94883,-89185.94825,True,False,-49.20100
44,Atsuto,0.19574,1.07962,1001.02001,-99.71142,2.37516,mustard silt,0.22967,-0.39012,5479.88499,-89185.86490,True,False,-39.70286
45,Bob,1.25576,-0.26518,1001.43556,-99.94922,-0.58339,mustard silt,-0.75966,-1.06079,5473.61492,-89186.29726,True,False,13.50600
46,Jorg,-1.34747,2.30453,1000.51087,-100.18761,5.06997,mustard silt,-1.31219,0.12097,5473.09150,-89185.42493,True,False,-117.11801
47,Bob,0.53170,0.45586,1000.35780,-100.34910,1.00288,silt med schnapps,1.21584,0.80705,5473.01131,-89186.13763,True,False,-23.23633
48,Bob,1.83410,-0.93467,1001.00953,-99.97306,-2.05628,surströmming,2.72263,0.24956,5475.28310,-89183.97836,True,False,42.20978
49,Jorg,2.40611,-1.28582,1000.92013,-99.57731,-2.82881,surströmming,1.06352,0.80074,5473.29089,-89187.68088,False,False,70.76568
50,Bob,-0.23306,1.11072,1000.54797,-99.83711,2.44357,mustard silt,1.95031,-0.80730,5473.11083,-89187.63188,True,False,-61.37883
51,Jorg,0.61964,0.36505,1000.94192,-99.40001,0.80310,mustard silt,0.39608,-1.39388,5474.98007,-89185.08209,False,False,-18.54717
52,Bob,2.54966,-1.41324,1001.43826,-99.34380,-3.10913,curry silt,1.66054,-2.02905,5475.47667,-89186.59129,False,False,78.20228
53,Jorg,-0.34528,1.12946,1000.32328,-99.79182,2.48482,mustard silt,-2.06352,0.28001,5479.33104,-89188.25097,True,False,-67.10234
54,Jorg,1.97779,-0.99998,1000.88600,-99.98072,-2.19996,surströmming,1.21171,3.00352,5474.03181,-89185.80338,True,False,49.33230
55,Jorg,1.65343,-0.76018,1000.92638,-99.41101,-1.67240,mexicansk silt,0.54176,-0.20171,5477.24392,-89188.83785,False,False,33.13483
56,Atsuto,-1.55789,2.24650,1001.02362,-99.64063,4.94230,mustard silt,1.04345,0.37965,5477.08909,-89185.77140,True,False,-127.38250
57,Atsuto,0.70502,0.10557,1000.60625,-99.80829,0.23224,mustard silt,0.34834,-1.10259,5478.31855,-89185.84476,True,False,-14.44594
58,Jorg,-100.05433,0.05433,1000.97717,-99.84877,0.11952,mustard silt,2.50708,1.99469,5476.39666,-89188.41713,True,False,3.20532
59,Atsuto,-1.20359,1.92646,1001.05390,-99.68327,4.23821,mustard silt,0.70454,-1.40506,5473.82633,-89185.62395,True,False,-109.65232
60,Atsuto,1.14804,-0.06635,1001.08215,-99.62611,-0.14598,mustard silt,0.86184,0.92973,5472.58531,-89185.36431,False,False,7.94309
61,Jorg,-0.13834,0.97875,1000.72953,-99.56997,2.15324,mustard silt,-0.69134,2.84987,5476.89710,-89188.85872,False,False,-56.55232
62,Atsuto,2.31132,-1.43718,1000.40153,-100.05439,-3.16179,surströmming,-0.09719,0.21585,5473.44561,-89185.98968,True,False,65.76679
63,Atsuto,2.61739,-1.71572,1000.88054,-99.86689,-3.77458,surströmming,1.44355,-0.21507,5474.65607,-89184.82679,False,False,81.30959
64,Bob,1.70789,-0.70147,1001.37239,-99.74241,-1.54323,mustard silt,-0.17361,0.70457,5475.30294,-89186.14854,True,False,36.08086
65,Jorg,1.57599,-0.75303,1001.27490,-99.79224,-1.65667,mexicansk silt,-0.48354,0.68956,5478.59670,-89187.39234,True,False,29.43695
66,Atsuto,0.85270,0.25492,1000.70477,-99.85632,0.56083,mustard silt,0.45983,-0.40467,5480.01616,-89185.54325,True,False,-7.01250
67,Atsuto,2.15782,-1.10899,1001.12475,-99.65050,-2.43978,surströmming,0.76533,0.18835,5473.48977,-89186.24521,False,False,58.45318
68,Bob,0.34522,0.54055,1000.88159,-100.29983,1.18921,mooooostard silt,-0.17092,1.10501,5475.43701,-89188.12429,True,False,-32.29798
69,Bob,1.70558,-0.89064,1001.46114,-99.36370,-1.95941,mustard silt,-1.67778,-0.32676,5474.75047,-89185.85871,False,False,36.00974
70,Bob,2.19499,-1.22974,1000.33150,-100.29448,-2.70542,surströmming,-0.92449,1.71296,5473.08585,-89185.85569,True,False,59.91531
71,Jorg,0.84022,0.19808,1000.74090,-99.96850,0.43578,mustard silt,-0.92535,0.06953,5475.00584,-89184.59466,True,False,-7.61860
72,Jorg,2.25895,-1.29343,1001.09471,-99.62836,-2.84556,surströmming,0.35707,-1.05220,5474.31614,-89185.04200,False,False,63.49493
73,Atsuto,0.04408,0.90841,1000.43484,-99.90535,1.99849,mustard silt,-0.59315,-0.37639,5474.50576,-89186.23211,True,False,-47.57844
74,Bob,1.46018,-0.31260,1000.96713,-99.73848,-0.68772,mustard silt,0.76854,-0.92578,5470.47024,-89184.79280,True,False,23.49262
75,Bob,2.07203,-1.18168,1000.81041,-99.66986,-2.59969,surströmming,-0.91418,1.58511,5473.31420,-89185.99089,False,False,54.00683
76,Jorg,1.48937,-0.70210,1000.68754,-100.08296,-1.54462,surströmming,0.42255,2.39099,5477.07288,-89187.04171,True,False,24.81240
77,Bob,0.83883,0.07799,1001.30420,-99.88347,0.17159,mustard silt,0.37756,-1.51253,5473.36051,-89185.51876,True,False,-7.40665
78,Atsuto,2.16798,-0.82633,1000.92643,-99.79667,-1.81794,surströmming,1.24195,0.40224,5473.90469,-89187.63434,True,False,58.86242
79,Bob,-0.23530,1.31324,1000.79180,-99.87678,2.88912,mustard silt,-0.80509,-0.63985,5473.34546,-89185.00017,True,False,-61.36895
80,Jorg,0.57279,0.26201,1000.76140,-99.83459,0.57642,mustard silt,1.45287,0.30496,5475.59160,-89187.74203,True,False,-20.97985
81,Jorg,0.55079,0.62347,1000.69517,-100.13946,1.37164,mustard silt,-2.84546,-1.84625,5475.40629,-89186.72775,True,False,-22.11309
82,Bob,0.75393,0.36624,1001.26284,-100.00590,0.80573,mustard silt,-2.04988,-0.58340,5474.65375,-89185.11424,True,False,-11.67212
83,Atsuto,0.01948,1.09347,1000.77270,-99.71612,2.40564,mustard silt,-0.08665,-0.56064,5473.51288,-89185.28807,True,False,-48.63956
84,Jorg,-0.38942,1.40330,1001.00661,-99.97577,3.08726,mustard silt,1.49016,0.27950,5474.74121,-89186.02215,True,False,-68.96748
85,Bob,2.10668,-1.07579,1001.02262,-99.43052,-2.36674,silt med onions,0.92369,-0.36278,5474.47267,-89185.89666,False,False,55.84527
86,Jorg,0.55942,0.20615,1000.77650,-99.56667,0.45354,mustard silt,-0.26523,0.17301,5475.29887,-89186.28715,False,False,-21.64056
87,Atsuto,0.81276,0.26207,1000.58881,-99.80151,0.57656,mustard silt,-0.75562,-0.55111,5477.33161,-89184.26606,True,False,-9.06772
88,Bob,0.52214,0.38717,1000.15001,-100.27867,0.85178,surströmming,0.35501,-1.02896,5473.30187,-89184.72154,True,False,-23.81810
89,Atsuto,1.47563,-0.56012,1000.79315,-99.66404,-1.23227,silt med onions,-0.69284,0.63541,5480.66764,-89185.65507,False,False,24.17802
90,Jorg,-0.09351,1.28159,1001.03348,-99.90618,2.81950,mustard silt,-1.22601,0.36973,5478.14276,-89187.77323,True,False,-54.15897
91,Bob,1.40959,-0.40297,1001.17886,-99.63315,-0.88653,mustard silt,2.32454,-4.73267,5474.57211,-89185.44912,False,False,21.06901
92,Bob,0.02928,0.97975,1001.12205,-99.44467,2.15544,mustard silt,-0.94775,1.25805,5477.13246,-89188.42607,False,False,-47.97514
93,Jorg,0.98266,0.10642,1001.08393,-99.70709,0.23412,mustard silt,-0.38137,1.65320,5478.24889,-89187.87322,True,False,-0.32510
94,Atsuto,1.67161,-0.58764,1000.89515,-99.85110,-1.29281,silt med schnapps,0.83575,0.21939,5477.60680,-89188.27120,True,False,34.02786
95,Jorg,-0.24518,1.32558,1000.95352,-99.48329,2.91628,mustard silt,-0.24309,-1.14074,5475.41367,-89185.97490,False,False,-61.78221
96,Bob,2.74942,-1.51576,1001.46703,-99.93641,-3.33468,surströmming,2.39797,-0.64866,5475.00645,-89185.22982,True,False,88.20448
97,Bob,1.72116,-1.04496,1000.22621,-100.11952,-2.29891,surströmming,0.08662,0.59594,5475.66643,-89184.61986,True,False,36.17128
98,Jorg,-0.01986,1.02320,1000.83211,-99.73898,2.25104,mustard silt,-2.25639,-3.11066,5474.39949,-89185.41089,True,False,-50.57715
99,Atsuto,-0.00955,0.72824,1000.61302,-99.90932,1.60212,mustard silt,-0.25153,0.29500,5477.14573,-89184.41482,True,False,-50.17079
100,Jorg,1.16599,-0.20511,1000.87988,-99.47253,-0.45125,mustard silt,0.27352,-1.93268,5479.44228,-89189.21447,False,False,8.73942
101,Bob,1.65799,-0.52763,1000.92635,-100.29160,-1.16078,surströmming,-1.74668,-0.67174,5476.22795,-89187.06695,True,False,33.36250
102,Atsuto,0.11173,0.91932,1000.17667,-100.08485,2.02250,mustard silt,1.26070,1.52347,5473.52292,-89185.39868,True,False,-44.32530
103,Atsuto,0.46046,0.54275,1000.65851,-99.81808,1.19404,mustard silt,-0.06046,-0.11255,5472.80906,-89185.59611,True,False,-26.64775
104,Jorg,0.01915,0.82864,1000.41406,-99.91952,1.82302,mustard silt,-0.54305,0.49609,5474.72567,-89185.48830,True,False,-48.83532
105,Bob,0.23309,0.91783,1001.15906,-99.89695,2.01922,mustard silt,1.02776,-1.11479,5475.81746,-89185.07109,True,False,-37.76615
106,Jorg,-0.22310,1.17036,1001.15795,-99.63690,2.57478,mustard silt,-0.89550,-0.77806,5475.87369,-89186.63203,True,False,-60.57612
107,Jorg,0.16423,0.62812,1001.07174,-99.59504,1.38187,mustard silt,1.69014,-0.31558,5478.08486,-89189.10709,False,False,-41.25277
108,Atsuto,1.67949,-0.47694,1000.20795,-100.27938,-1.04926,surströmming,-0.88224,-0.58345,5472.12739,-89185.89506,True,False,34.07856
109,Jorg,0.83663,0.14955,1001.11017,-99.67193,0.32900,mustard silt,-0.90216,1.87558,5475.49224,-89184.22401,False,False,-7.61327
110,Bob,-1.36312,2.33286,1001.29811,-99.77693,5.13230,mustard silt,-2.01703,-0.53657,5472.09514,-89185.95787,True,False,-117.50711
111,Atsuto,1.94550,-0.92003,1000.69087,-99.97101,-2.02407,surströmming,-1.16736,0.02839,5475.11150,-89186.81765,True,False,47.62067
112,Atsuto,1.08609,-0.37168,1001.02258,-99.63986,-0.81770,mustard silt,0.00180,-0.26906,5475.33549,-89186.28998,False,False,4.81603
113,Jorg,1.07362,-0.46197,1001.00108,-99.35444,-1.01633,mustard silt,1.20963,-0.79469,5477.54097,-89187.25695,False,False,4.18132
114,Jorg,2.28386,-1.19016,1000.95295,-99.81257,-2.61835,surströmming,-0.17334,0.30267,5475.99513,-89182.98232,False,False,64.66946
115,Bob,3.00574,-1.97958,1000.97452,-99.90620,-4.35508,surströmming,0.72833,1.81369,5474.60957,-89185.83368,True,False,100.77411
116,Bob,1.48442,-0.39350,1000.83872,-99.71401,-0.86571,mexicansk silt,-0.26170,-0.75765,5474.21699,-89185.88761,False,False,24.64060
117,Bob,1.54674,-0.56593,1001.52072,-99.63821,-1.24504,mustard silt,2.11488,1.13214,5474.40764,-89185.77904,False,False,28.09720
118,Bob,0.81627,0.20819,1000.64834,-99.99966,0.45801,old-fashioned silt,1.89022,-1.20613,5472.54387,-89186.56076,True,False,-8.86214
119,Atsuto,0.60498,0.20808,1000.38295,-99.94883,0.45779,curry silt,0.74239,-0.56023,5474.72519,-89186.82964,True,False,-19.55973
120,Bob,1.99217,-1.07742,1001.09368,-99.34142,-2.37033,curry silt,-1.82306,3.40633,5475.93501,-89187.03644,False,False,50.15527
121,Bob,1.64967,-0.71098,1001.15420,-99.46882,-1.56415,mustard silt,-1.15010,0.09910,5472.01356,-89187.63308,False,False,33.06068
122,Jorg,0.75455,0.07696,1000.45924,-100.04699,0.16932,silt med schnapps,0.06072,1.17479,5473.83778,-89184.60814,True,False,-12.04288
123,Bob,0.70604,0.30533,1001.10563,-99.44285,0.67172,mustard silt,-0.70442,-0.49942,5474.37858,-89186.79996,False,False,-14.14525
124,Atsuto,2.89192,-2.02684,1001.11141,-99.56287,-4.45905,surströmming,-0.96679,0.75997,5478.96433,-89185.63480,False,False,95.15151
125,Bob,2.90418,-1.83427,1001.28685,-99.15645,-4.03539,surströmming,-0.94823,-0.20971,5475.41939,-89185.06359,False,False,95.85240
126,Bob,0.21394,0.81533,1000.54506,-100.04611,1.79373,mustard silt,-0.94924,1.54271,5471.58358,-89185.57739,True,False,-39.03032
127,Atsuto,3.08379,-2.15142,1000.31451,-99.98784,-4.73312,surströmming,-0.42709,0.35018,5474.80161,-89185.67262,True,False,104.34664
128,Atsuto,2.46496,-1.63100,1000.64232,-99.79101,-3.58820,surströmming,-0.21918,0.93218,5477.83144,-89185.55849,False,False,73.56939
129,Atsuto,2.74932,-1.78692,1000.50378,-99.93385,-3.93122,surströmming,0.21384,-0.34677,5471.59755,-89185.99499,True,False,87.71774
130,Atsuto,1.16789,-0.17333,1000.89969,-99.80491,-0.38133,mustard silt,-0.30442,-0.28830,5479.15866,-89184.47781,True,False,8.84455
131,Bob,2.43828,-1.78954,1000.47756,-100.13865,-3.93698,surströmming,-1.34957,0.34105,5474.61309,-89187.00214,True,False,72.15270
132,Jorg,0.45935,0.50529,1000.98639,-99.85923,1.11164,mustard silt,2.90750,0.91005,5479.26700,-89188.09535,True,False,-26.53952
133,Bob,1.57137,-0.55884,1001.08465,-99.82724,-1.22946,curry silt,1.41225,0.34143,5474.31648,-89185.32654,True,False,29.11078
134,Jorg,2.14008,-1.07834,1000.82424,-100.04372,-2.37235,surströmming,-0.83376,-1.35458,5474.61662,-89184.82597,True,False,57.41589
135,Jorg,0.38866,0.70892,1001.08881,-99.46367,1.55962,mustard silt,0.91306,0.48639,5476.32295,-89182.28908,False,False,-30.02247
136,Jorg,1.04379,0.04759,1001.07365,-99.80501,0.10469,mustard silt,-0.81313,0.12043,5477.47421,-89189.36314,True,False,2.72644
137,Bob,1.27624,-0.31201,1000.93323,-100.26659,-0.68641,surströmming,-2.89231,0.28569,5470.77679,-89185.13543,True,False,14.27865
138,Jorg,1.12633,-0.26158,1000.90185,-99.53061,-0.57549,mustard silt,-0.84176,0.40627,5475.35675,-89186.42045,False,False,6.76724
139,Bob,0.90109,0.05876,1001.31090,-99.92228,0.12928,mustard silt,0.06408,-3.64016,5472.24220,-89184.32454,True,False,-4.29002
140,Jorg,0.91805,0.04824,1000.60960,-100.19037,0.10613,silt med schnapps,-0.84507,-0.54710,5473.35236,-89184.10083,True,False,-3.79283
141,Bob,-0.36109,1.39850,1000.29577,-100.12780,3.07670,mustard silt,0.70897,-2.58810,5473.08954,-89184.03209,True,False,-67.90684
142,Jorg,-0.63307,1.63235,1000.87161,-99.52765,3.59116,mustard silt,1.56473,0.14631,5474.44775,-89188.41081,False,False,-81.21769
143,Bob,-0.44568,1.37959,1000.95981,-99.86768,3.03510,mustard silt,0.42116,-0.51281,5474.22397,-89187.77777,True,False,-71.80396
144,Jorg,-0.70190,1.32460,1000.61609,-100.12971,2.91412,mustard silt,-0.82993,-0.93562,5476.02897,-89184.39233,True,False,-84.78713
145,Bob,0.78616,0.33902,1001.38746,-99.26900,0.74585,mustard silt,-1.52850,2.29946,5475.46402,-89186.01104,False,False,-9.99822
146,Atsuto,1.62426,-0.56786,1000.67472,-99.96397,-1.24930,surströmming,0.27172,0.57532,5479.42597,-89185.30726,True,False,31.55059
147,Atsuto,0.16616,0.80485,1000.52013,-100.07094,1.77067,mustard silt,0.58967,-0.21528,473.43211,-89185.39013,True,False,-41.43211
148,Bob,0.92715,0.06852,1000.67109,-99.75383,0.15075,mustard silt,2.55464,-2.06750,5472.97071,-89187.04849,True,False,-3.30708
149,Atsuto,-0.97416,1.92503,1000.20787,-100.09362,4.23506,mustard silt,1.45641,0.49082,5478.63408,-89184.20234,True,False,-98.60418
150,Jorg,0.59633,0.33548,1000.88982,-99.54253,0.73805,mustard silt,-0.52373,1.68107,5478.08144,-89187.75678,False,False,-19.73879
151,Bob,1.40274,-0.64026,1000.28997,-99.94898,-1.40857,the worst smelling anything ever,-0.38837,0.39148,5471.35112,-89183.68343,True,False,20.28210
152,Bob,-1.83508,2.68456,1000.90325,-100.18695,5.90603,mustard silt,-0.83376,-0.18814,5475.24861,-89186.76013,True,False,-141.30256
153,Bob,0.63078,0.47292,1001.14076,-99.87928,1.04042,mustard silt,0.20404,0.43859,5473.15265,-89186.21428,True,False,-17.89042
154,Atsuto,0.74440,0.18876,1000.15808,-100.12938,0.41527,surströmming,0.75374,0.24616,5475.48020,-89187.65158,True,False,-12.70083
155,Jorg,2.44990,-1.42411,1001.00064,-99.76572,-3.13305,surströmming,0.49849,2.16066,5477.73247,-89187.78803,False,False,72.99523
156,Jorg,1.52785,-0.50725,1000.94104,-99.58610,-1.11596,old-fashioned silt,-2.25126,-1.07034,5475.83504,-89184.59518,False,False,26.86309
157,Jorg,0.62246,0.66848,1000.98063,-99.90079,1.47065,mustard silt,1.52969,1.49295,5475.93495,-89186.06569,True,False,-18.38656
158,Atsuto,1.21119,-0.03822,1000.67040,-99.96722,-0.08409,curry silt,-0.64921,0.47625,5473.00293,-89186.50371,True,False,10.89459
159,Jorg,0.21799,0.71585,1000.77874,-99.54667,1.57487,mustard silt,-0.93706,-2.78726,5474.43214,-89184.51769,False,False,-38.71132
160,Jorg,0.50734,0.41387,1000.93917,-99.67104,0.91052,mustard silt,1.55863,1.75252,5474.21529,-89187.00299,True,False,-24.16355
161,Atsuto,1.99580,-1.10822,1000.34250,-100.06604,-2.43808,surströmming,-0.66244,0.30253,5474.15426,-89186.90202,True,False,49.96139
162,Atsuto,1.72513,-0.85065,1000.49996,-100.10592,-1.87144,surströmming,-0.86602,1.06176,5480.44011,-89186.94018,True,False,36.50636
163,Jorg,-0.73703,1.70861,1000.69713,-100.13045,3.75894,mustard silt,0.40184,-1.40253,5477.22764,-89188.04557,True,False,-86.50283
164,Bob,0.79813,0.24422,1000.27012,-100.07913,0.53727,silt med schnapps,0.27555,-0.59428,5475.23896,-89186.99683,True,False,-9.95846
165,Atsuto,0.27459,0.54365,1000.13908,-100.17059,1.19603,silt med onions,-0.37969,0.40410,5474.89835,-89185.69452,True,False,-36.20112
166,Atsuto,0.68245,0.18351,1000.77588,-99.80006,0.40372,mustard silt,0.65227,0.10928,5473.68355,-89186.60106,True,False,-15.48966
167,Jorg,0.24805,0.70580,1001.01606,-99.43390,1.55276,mustard silt,0.77805,1.23224,5474.20389,-89187.69480,False,False,-37.08960
168,Bob,-0.34205,1.29517,1000.35090,-100.28537,2.84937,mustard silt,0.55778,0.51596,5474.91284,-89187.65935,True,False,-66.92682
169,Jorg,0.10298,0.78667,1000.89956,-99.57205,1.73068,mustard silt,-1.61769,-1.02324,5479.09822,-89187.47233,False,False,-44.40145
170,Jorg,-0.77433,1.94314,1001.07995,-99.60901,4.27492,mustard silt,-0.28420,-0.66913,5476.11510,-89190.13345,True,False,-88.17642
171,Jorg,1.86781,-0.85181,1000.90014,-99.65265,-1.87398,surströmming,-0.52248,2.07369,5474.17598,-89187.29318,False,False,43.84055
172,Atsuto,-0.41346,1.45623,1000.89853,-99.67690,3.20370,mustard silt,-1.12468,0.54687,5480.07597,-89186.18814,True,False,-70.22374
173,Bob,1.67488,-0.65863,1000.97304,-100.08336,-1.44899,surströmming,3.65763,0.16017,5474.60995,-89185.03014,True,False,34.23035
174,Jorg,2.13628,-1.18338,1000.39696,-99.87471,-2.60344,surströmming,1.67718,0.26301,5476.35512,-89188.46736,False,False,57.01241
175,Atsuto,2.14203,-1.04399,1000.20725,-100.14840,-2.29678,surströmming,-1.59307,0.21836,5478.01198,-89184.79455,True,False,57.20529
176,Atsuto,0.28496,0.52014,1000.53243,-100.03868,1.14431,mustard silt,-0.05152,0.15254,5475.53658,-89185.52149,True,False,-35.48594
177,Bob,0.87718,0.04337,1001.27193,-99.93212,0.09541,mustard silt,-2.33859,0.33185,5475.57875,-89187.43939,True,False,-5.50528
178,Jorg,-0.03196,1.16432,1000.31594,-99.83615,2.56149,mustard silt,0.51050,0.30516,5477.70633,-89188.10884,True,False,-51.44016
179,Jorg,2.03794,-0.94157,1000.55877,-100.04316,-2.07146,surströmming,-0.35036,0.46993,5476.62602,-89184.29403,True,False,52.17617
180,Atsuto,0.01584,0.96231,1000.26768,-100.06791,2.11708,mustard silt,0.18156,-0.66177,5472.83693,-89185.04225,True,False,-49.07396
181,Atsuto,0.76568,0.32256,1000.53692,-99.97050,0.70962,old-fashioned silt,-1.17965,1.30432,5475.07620,-89185.27748,True,False,-11.44736
182,Bob,1.87795,-0.76328,1000.58012,-100.13178,-1.67921,surströmming,-1.06928,1.05720,5475.11600,-89185.47559,True,False,44.18779
183,Jorg,2.13979,-1.12861,1000.44842,-99.94927,-2.48294,surströmming,-2.10319,1.70456,5476.82045,-89186.61259,True,False,57.21378
184,Jorg,1.02361,0.06502,1000.85487,-99.49938,0.14304,mustard silt,0.51920,-0.19779,5475.37170,-89185.00299,False,False,1.60801
185,Atsuto,1.99568,-0.88749,1000.90058,-99.83919,-1.95247,surströmming,-1.10384,-1.00703,5478.06229,-89183.94257,True,False,50.23404
186,Bob,1.11509,-0.26166,1001.32007,-99.48081,-0.57565,mustard silt,0.33254,-1.97061,5472.06014,-89186.51238,False,False,6.41473
